Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
4928;Stuttgart (Schnarrenberg);9.2;48.83;314;;19580101;20000229;Schneepegel;Schneehöhenmessung, manuell;eor;
4928;Stuttgart (Schnarrenberg);9.2;48.83;314.28;2;20080202;20090504;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
4928;Stuttgart (Schnarrenberg);9.2;48.83;314.28;2;20091001;20100430;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
4928;Stuttgart (Schnarrenberg);9.2;48.83;314.28;2;20101001;20110430;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
4928;Stuttgart (Schnarrenberg);9.2;48.83;314.28;2;20111001;20120501;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
4928;Stuttgart (Schnarrenberg);9.2;48.83;314.28;2;20121001;20130430;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
4928;Stuttgart (Schnarrenberg);9.2;48.83;314.28;2;20131001;20240626;Schneehöhensensor SHM 30;Schneehöhenmessung, elektr.;eor;
4928;Stuttgart (Schnarrenberg);9.2;48.83;314.28;2;20240627;20260419;Schneehöhensensor SHM 31;Schneehöhenmessung, elektr.;eor;
generiert: 17.06.2026 --  Deutscher Wetterdienst  --
