Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
1048;Dresden-Klotzsche;TGK;17.03.1960;17.03.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;20.03.1960;21.03.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;03.04.1960;03.04.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;10.04.1960;10.04.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;17.04.1960;18.04.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;24.04.1960;25.04.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;01.05.1960;01.05.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;08.05.1960;08.05.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;15.05.1960;15.05.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;05.06.1960;06.06.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;19.06.1960;19.06.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;16.08.1960;16.08.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;30.08.1960;30.08.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;04.09.1960;04.09.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;14.11.1960;14.11.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;02.12.1960;02.12.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;11.12.1960;11.12.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;19.12.1960;19.12.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;04.01.1961;04.01.1961;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;29.12.1962;29.12.1962;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;15.01.1963;15.01.1963;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;22.01.1963;22.01.1963;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;24.01.1963;24.01.1963;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;28.02.1963;28.02.1963;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;19.07.1963;19.07.1963;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;23.07.1963;23.07.1963;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;25.12.1963;25.12.1963;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;11.01.1964;11.01.1964;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;04.06.1964;04.06.1964;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;15.03.1966;15.03.1966;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;12.09.1966;12.09.1966;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TGK;01.01.2002;02.01.2002;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;PM;01.03.1945;30.09.1960;5693;;eor;                                                                                                                                              
1048;Dresden-Klotzsche;FM;28.08.1991;28.08.1991;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FM;01.11.1991;21.11.1991;21;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;FM;25.01.1992;29.01.1992;5;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FM;31.01.1992;02.02.1992;3;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FM;07.04.1992;08.04.1992;2;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FM;22.04.1992;29.04.1992;8;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FM;23.05.1992;28.05.1992;6;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FM;02.08.1992;06.08.1992;5;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FM;11.08.1992;12.08.1992;2;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FM;01.09.1992;02.09.1992;2;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FM;30.09.1992;02.10.1992;3;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FM;30.10.1992;30.10.1992;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FM;13.11.1993;07.02.1994;87;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;FM;09.02.1994;10.02.1994;2;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FM;13.02.1994;24.02.1994;12;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;FM;18.04.1994;28.04.1994;11;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;FM;01.10.1995;31.10.1995;31;;eor;                                                                                                                                                
